tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[129.19921875],0.20735008,2786.3432475345116,2112.0117250234084,0.23281832007062694,-262.11325,63.208363,5.3058085,4.7885175,4.4769225,0.6075162,19.914272824060983,-0.004351519144169562,1.8420904,electronic
[151.99908088],0.16192904,3251.540664742475,2883.9925784629045,0.14380298531830496,-140.09128,44.517887,-0.23659948,7.1230946,6.1532636,0.4290897,21.174354005081398,-0.018173949555096932,1.7767774,electronic
[129.19921875],0.15561678,2506.5074670069084,2741.583257276623,0.07112277476780186,-268.73645,65.91661,60.837765,46.55376,23.641613,0.5759422,21.13578248479416,-0.09558965736242374,1.1597803,electronic
[129.19921875],0.2667604,2333.5792652783516,2523.5001038662904,0.09419028456366099,-43.648994,88.21239,4.225578,23.268476,5.909297,0.43274865,20.651651799423554,0.009324464666938611,1.9562443,electronic
[123.046875],0.34593174,2843.0666075860568,2925.469546561245,0.09515210792376161,-9.1093445,67.957695,11.581122,23.091772,13.255752,0.43943205,20.472943260646872,-0.021462245883368678,1.4392943,electronic
[112.34714674],0.18314415,1744.6003390951364,1773.8047219990856,0.08274817688177244,-118.27733,117.00503,-24.963339,35.415024,-9.59375,0.2778302,24.762845373084616,0.017358535502561518,1.1857345,electronic
[112.34714674],0.26872244,1899.2459309599665,2206.203507628245,0.06903321824206657,-49.901573,115.61009,-4.2946877,19.496273,1.181545,0.36651075,21.689401637282064,-0.03028621206617707,1.1056212,electronic
[129.19921875],0.18257762,3445.6241636916347,2894.8495313944154,0.15290799450948142,-82.66289,43.516224,-3.729097,6.0470047,-11.292636,0.5642316,20.245194923548148,-0.00637349219722347,1.9782212,electronic
[143.5546875],0.19142371,1992.4077274356957,2375.7543031797527,0.08676289183436532,-74.048325,98.15186,-4.9509015,26.575836,10.811395,0.42152908,22.252560333791116,0.0068083342367396054,1.926336,electronic
[89.10290948],0.10063321,906.159584178195,975.116890112997,0.05308433509094427,-262.9616,185.10509,1.9641378,-0.93477666,16.86275,0.40942198,22.457454062813703,0.01257059079825293,1.1165822,electronic
[123.046875],0.18477036,2087.7907202883384,1770.7885176246596,0.11065692724458204,-279.2968,45.22794,-4.1297274,30.182741,15.066313,0.55808634,18.19138781277679,0.004155985351574647,2.983019,electronic
[184.5703125],0.23473807,2643.2847471435643,2830.189209220151,0.07478526206946594,-52.408905,73.48936,2.3382413,15.54888,6.751566,0.44666195,23.883299781793045,0.030045460838480413,1.266854,hip-hop
[172.265625],0.19226219,2464.6281383831683,2558.128561621727,0.10022766302244582,-105.97394,89.6077,19.499907,11.295259,0.40046698,0.36994722,26.131767602787363,-0.03933631834528228,1.3663092,hip-hop
[198.76802885],0.19581336,1511.2525068218913,1636.1060933800964,0.07796438116776316,-120.310974,137.65837,-43.71867,22.794834,6.5428524,0.57323134,20.84365020972136,-0.038063682313732236,1.3944432,hip-hop
[151.99908088],0.12395677,2930.389679146342,2341.5522831022404,0.1600481629740712,-153.56989,52.41956,-25.494379,14.097548,-14.645239,0.28265247,23.75537075258912,-0.000984977853622958,1.5791456,hip-hop
[129.19921875],0.08640471,1672.5040380849832,1498.6000722690248,0.1170967976006192,-322.94608,60.818935,-29.071056,7.008063,0.061897583,0.24211188,29.62054410233309,0.05453278256797584,1.188672,hip-hop
